dashboard_id,category,sheet_name,mark_type,field_name,data_min,data_max,zero_gap_ratio,resolution_status,problem,fix
healthcare/Deviation_ Charting Actual to Target Values,healthcare,Bar Chart,bar,Actual ALOS,4.5,7.9,1.32,RESOLVED_RAW,"This bar chart's values range from 4.50 to 7.90, none of which approach zero. If the axis does not start at zero, differences between values will appear visually exaggerated.","Set the Y-axis to start at zero (right-click axis -> Edit Axis -> Fixed -> 0), or switch to a chart type where this is not a concern."
healthcare/Deviation_ Charting Actual to Target Values,healthcare,Bullet Chart,bar,Actual ALOS,4.5,7.9,1.32,RESOLVED_RAW,"This bar chart's values range from 4.50 to 7.90, none of which approach zero. If the axis does not start at zero, differences between values will appear visually exaggerated.","Set the Y-axis to start at zero (right-click axis -> Edit Axis -> Fixed -> 0), or switch to a chart type where this is not a concern."
marketing/Marketing Campaign Performance Dashboard #VOTD,marketing,Clicks Bar,bar,Clicks,69,131,1.11,RESOLVED_RAW,"This bar chart's values range from 69.00 to 131.00, none of which approach zero. If the axis does not start at zero, differences between values will appear visually exaggerated.","Set the Y-axis to start at zero (right-click axis -> Edit Axis -> Fixed -> 0), or switch to a chart type where this is not a concern."
marketing/Marketing Campaign Performance Dashboard #VOTD,marketing,Impressions Bar,bar,Impressions,890,1100,4.24,RESOLVED_RAW,"This bar chart's values range from 890.00 to 1100.00, none of which approach zero. If the axis does not start at zero, differences between values will appear visually exaggerated.","Set the Y-axis to start at zero (right-click axis -> Edit Axis -> Fixed -> 0), or switch to a chart type where this is not a concern."
operations/Wine & Order of operations,operations,4. Issue,bar,Rating Score,88,100,7.33,RESOLVED_RAW,"This bar chart's values range from 88.00 to 100.00, none of which approach zero. If the axis does not start at zero, differences between values will appear visually exaggerated.","Set the Y-axis to start at zero (right-click axis -> Edit Axis -> Fixed -> 0), or switch to a chart type where this is not a concern."
operations/Wine & Order of operations,operations,4.start,bar,Rating Score,88,100,7.33,RESOLVED_RAW,"This bar chart's values range from 88.00 to 100.00, none of which approach zero. If the axis does not start at zero, differences between values will appear visually exaggerated.","Set the Y-axis to start at zero (right-click axis -> Edit Axis -> Fixed -> 0), or switch to a chart type where this is not a concern."
