dashboard_id,category,sheet_name,mark_type,status,rule_id,severity,problem,fix,field_name,aggregation,field_type,shelf,annotator_label,notes
education/Data-Driven Insight for Global Education Access and EdTech Expansion,education,Enrollment vs Out-of-School,circle,Clean,,,,,,,,,,
education/Data-Driven Insight for Global Education Access and EdTech Expansion,education,Outlier Analysis,circle,Clean,,,,,,,,,,
education/Data-Driven Insight for Global Education Access and EdTech Expansion,education,Trend Out-of-School Over Time,line,Clean,,,,,,,,,,
education/Department of Education - Visuals,education,Bottom 3 Universities by Graduation Rate,bar,Clean,,,,,,,,,,
education/Department of Education - Visuals,education,Bottom 5 States by Graduation Rate,bar,Clean,,,,,,,,,,
education/Department of Education - Visuals,education,Relationship Between Federal Grant Aid and Graduation Rate,circle,Clean,,,,,,,,,,
education/Department of Education - Visuals,education,Top 3 Universities by Graduation Rate,bar,Clean,,,,,,,,,,
education/Department of Education - Visuals,education,Top 5 States by Graduation Rate,bar,Clean,,,,,,,,,,
education/Department of Education - Visuals,education,public vs private,bar,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis (1),education,Bubble Map,circle,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis (2),education,Enrollment Size vs Grad Rate,bar,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis (2),education,Financial Aid Breakdown,bar,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis (2),education,Institutional Profile,circle,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis (2),education,Selectivity vs Grad Rate,circle,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis (3),education,Box & Whisker,circle,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis (3),education,ScatterPlot,circle,Flagged,M9_sum_on_ratio_field,WARNING,SUM is applied to 'Percent of freshmen receiving Pell grants' which appears to be a ratio or percentage field. Summing ratios does not produce a meaningful result.,Use AVG instead of SUM for ratio and percentage fields.,Percent of freshmen receiving Pell grants,sum,quantitative,cols,,
education/Department of Education Graduation Analysis (3),education,Urbanization  Circles,circle,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis,education,Bar graph % by graduation rate top 10 schools,bar,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis,education,Graduation Rates by Urbanization Type,bar,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis,education,Metric Switcher ,bar,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis,education,Pie ,pie,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis,education,Top 25 Universities by Enrollment,circle,Clean,,,,,,,,,,
education/Education & Fertility Rate - A Global View,education,Trend Over Time,line,Clean,,,,,,,,,,
education/Education - Team 5,education,Sheet 4,pie,Clean,,,,,,,,,,
education/Education by Team 5,education,Sheet 2,pie,Clean,,,,,,,,,,
education/Education by Team 5,education,Sheet 5,circle,Clean,,,,,,,,,,
education/Education Gender Parity Dashboard,education,GDP vs GPI,circle,Clean,,,,,,,,,,
education/Education Gender Parity Dashboard,education,GPI Trend,line,Clean,,,,,,,,,,
education/Education Gender Parity Dashboard,education,GPI by Income Group,bar,Clean,,,,,,,,,,
education/Education,education,Grants vs Loans: School Size,bar,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education, Q4: Career Disruption Risk,square,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Prep vs Wage,circle,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q1: Payoff & Risk,bar,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q2b: T20 State Price,square,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q2c: B20 State Price,square,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q3: Labor Market Resilience,circle,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q4: Wage vs Unemployment,circle,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q6: Belonging & Teamwork by Pathway,circle,Clean,,,,,,,,,,
"education/Girls, School & Equality_ Does Education Drive Gender Equality_",education,Enrollment vs Equality,circle,Clean,,,,,,,,,,
"education/Girls, School & Equality_ Does Education Drive Gender Equality_",education,GPI Over Time,line,Clean,,,,,,,,,,
education/Global Education Trends (2001–2024),education,Gender Parity,bar,Clean,,,,,,,,,,
education/Global Education Trends (2001–2024),education,Literacy Rate Trend,line,Clean,,,,,,,,,,
education/Global Education Trends (2001–2024),education,Secondary Enrollment,line,Clean,,,,,,,,,,
education/GS_TeleAnalysis,education,Sheet 14,bar,Clean,,,,,,,,,,
education/GS_TeleAnalysis,education,Sheet 15,circle,Clean,,,,,,,,,,
education/IPEDS East Coast Higher Education Tableau Dashboard,education,Endowments & Grad Rate (2),bar,Clean,,,,,,,,,,
education/Nigeria Education Sector Spending Analysis 2015-2025,education,Budget % vs Benchmark,line,Flagged,M9_sum_on_ratio_field,WARNING,SUM is applied to 'education_pct_of_budget' which appears to be a ratio or percentage field. Summing ratios does not produce a meaningful result.,Use AVG instead of SUM for ratio and percentage fields.,education_pct_of_budget,sum,quantitative,rows,,
education/Nigeria Education Sector Spending Analysis 2015-2025,education,Nigeria Federal Education Allocation 2015-2025,line,Clean,,,,,,,,,,
education/Nigeria Education Sector Spending Analysis 2015-2025,education,YoY Growth Rate,bar,Flagged,M9_sum_on_ratio_field,WARNING,SUM is applied to 'yoy_growth_pct' which appears to be a ratio or percentage field. Summing ratios does not produce a meaningful result.,Use AVG instead of SUM for ratio and percentage fields.,yoy_growth_pct,sum,quantitative,rows,,
education/Nigeria Education Sector Spending Analysis 2015-2025,education,funding status by year,bar,Flagged,M9_sum_on_ratio_field,WARNING,SUM is applied to 'education_pct_of_budget' which appears to be a ratio or percentage field. Summing ratios does not produce a meaningful result.,Use AVG instead of SUM for ratio and percentage fields.,education_pct_of_budget,sum,quantitative,rows,,
education/Online Education assessment,education,Q2 - Institution vs Device,bar,Clean,,,,,,,,,,
education/Online Education assessment,education,Q2 - Institution vs Internet,bar,Clean,,,,,,,,,,
education/Online Education assessment,education,Q2 - Institution vs Network,bar,Clean,,,,,,,,,,
education/Online Education assessment,education,Q3 - Edu vs Device,bar,Clean,,,,,,,,,,
education/Online Education assessment,education,Q3 - Edu vs Internet,bar,Clean,,,,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 10,line,Clean,,,,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 11,pie,Flagged,M6_pie_without_pcto,WARNING,Pie chart uses usr aggregation on 'Calculation_0260375178002439' without Percent of Total. Pie slices represent proportions — raw values make the chart harder to interpret accurately.,Switch the aggregation to Quick Table Calculation → Percent of Total.,Calculation_0260375178002439,usr,quantitative,rows,,
education/online education platform dashboard-project- By Divya,education,Sheet 12,pie,Flagged,M6_pie_without_pcto,WARNING,Pie chart uses usr aggregation on 'Calculation_0260375178002439' without Percent of Total. Pie slices represent proportions — raw values make the chart harder to interpret accurately.,Switch the aggregation to Quick Table Calculation → Percent of Total.,Calculation_0260375178002439,usr,quantitative,rows,,
education/online education platform dashboard-project- By Divya,education,Sheet 15,square,Clean,,,,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 21,circle,Clean,,,,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 33,square,Clean,,,,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 34,pie,Flagged,M6_pie_without_pcto,WARNING,Pie chart uses usr aggregation on 'Calculation_0260375178002439' without Percent of Total. Pie slices represent proportions — raw values make the chart harder to interpret accurately.,Switch the aggregation to Quick Table Calculation → Percent of Total.,Calculation_0260375178002439,usr,quantitative,rows,,
education/online education platform dashboard-project- By Divya,education,Sheet 35,bar,Clean,,,,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 38,bar,Clean,,,,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 40,line,Clean,,,,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 5,pie,Flagged,M6_pie_without_pcto,WARNING,Pie chart uses usr aggregation on 'Calculation_0260375178002439' without Percent of Total. Pie slices represent proportions — raw values make the chart harder to interpret accurately.,Switch the aggregation to Quick Table Calculation → Percent of Total.,Calculation_0260375178002439,usr,quantitative,rows,,
education/online education platform dashboard-project- By Divya,education,Sheet 6,pie,Flagged,M6_pie_without_pcto,WARNING,Pie chart uses usr aggregation on 'Calculation_0260375178002439' without Percent of Total. Pie slices represent proportions — raw values make the chart harder to interpret accurately.,Switch the aggregation to Quick Table Calculation → Percent of Total.,Calculation_0260375178002439,usr,quantitative,rows,,
education/online education platform dashboard-project- By Divya,education,Sheet 7,bar,Clean,,,,,,,,,,
education/online education platform dashboard-project- By Divya,education,Sheet 9,area,Clean,,,,,,,,,,
education/U.S. Department of Education_ 6 Year Graduation Rate Analysis,education,bar chart with line,line,Clean,,,,,,,,,,
education/utoast_canada_education_REAL_ANALYSIS,education,工作表 6,bar,Clean,,,,,,,,,,
education/World Education Gap by Gender,education,Cluster,circle,Clean,,,,,,,,,,
education/World Education Gap by Gender,education,Scatterplot ,circle,Clean,,,,,,,,,,
financial/Banking Loan Report,financial,Cities Tooltip,bar,Clean,,,,,,,,,,
financial/Banking Loan Report,financial,Days Overdue ,bar,Clean,,,,,,,,,,
financial/Banking Loan Report,financial,Loan Term and Risk Rate,square,Clean,,,,,,,,,,
financial/Banking Loan Report,financial,Segment and Days Overdue,circle,Clean,,,,,,,,,,
financial/Banking Loan Report,financial,Top 10 States ,bar,Clean,,,,,,,,,,
financial/CFU - Climate finance recipients,financial,Approved project spending by country,circle,Clean,,,,,,,,,,
financial/CFU - Climate finance recipients,financial,chart sheet,bar,Clean,,,,,,,,,,
financial/CFU - REDD finance,financial,Recipients ,circle,Clean,,,,,,,,,,
financial/CFU - REDD finance,financial,Sheet 1,circle,Clean,,,,,,,,,,
financial/Corporate Finance_ Actual vs. Budget Dashboard,financial,Country Table,text,Clean,,,,,,,,,,
financial/Corporate Finance_ Actual vs. Budget Dashboard,financial,KPI's (2),text,Clean,,,,,,,,,,
financial/Corporate Finance_ Actual vs. Budget Dashboard,financial,KPI's (3),text,Clean,,,,,,,,,,
financial/Corporate Finance_ Actual vs. Budget Dashboard,financial,KPI's (4),text,Clean,,,,,,,,,,
financial/Corporate Finance_ Actual vs. Budget Dashboard,financial,Link,text,Clean,,,,,,,,,,
financial/Expenditure Finance 2023,financial,Sheet 1,circle,Clean,,,,,,,,,,
financial/Expenditure Finance 2023,financial,Sheet 1 (2),bar,Clean,,,,,,,,,,
financial/Finance (1),financial,EndPerStudent FTE,line,Clean,,,,,,,,,,
financial/Finance (1),financial,Endowment Value,pie,Clean,,,,,,,,,,
financial/Finance (1),financial,Operating Expenses,pie,Clean,,,,,,,,,,
financial/Finance (2),financial,Averages,square,Clean,,,,,,,,,,
financial/Finance (2),financial,Finance,square,Clean,,,,,,,,,,
financial/Finance Business Dashboard,financial,CC Scatter Plot,circle,Clean,,,,,,,,,,
financial/Finance Business Dashboard,financial,CC1 Bar Chart,bar,Clean,,,,,,,,,,
financial/Finance Business Dashboard,financial,CC2 Bar Chart,bar,Clean,,,,,,,,,,
financial/Finance Business Dashboard,financial,CC3 Bar Chart,bar,Clean,,,,,,,,,,
financial/Finance Business Dashboard,financial,Expenditure Split,bar,Clean,,,,,,,,,,
financial/Finance Business Dashboard,financial,FY Bar Chart,bar,Clean,,,,,,,,,,
financial/Finance Business Dashboard,financial,FY Circle Indicators,circle,Clean,,,,,,,,,,
financial/Finance Business Dashboard,financial,RM Circle Indicators,circle,Clean,,,,,,,,,,
financial/Finance Business Dashboard,financial,Scatter Plot with Action Filter,circle,Clean,,,,,,,,,,
financial/Finance Business Dashboard,financial,YTD Circle Indicators,circle,Clean,,,,,,,,,,
financial/Finance Dashboard (1),financial,Product Pareto,bar,Clean,,,,,,,,,,
financial/Finance Dashboard (1),financial,Trend Growth,circle,Clean,,,,,,,,,,
financial/Finance Dashboard (1),financial,Trend Margin,bar,Clean,,,,,,,,,,
financial/Finance Dashboard (1),financial,Trend Profit,bar,Clean,,,,,,,,,,
financial/Finance Dashboard (1),financial,Trend Sales,bar,Clean,,,,,,,,,,
financial/Finance Dashboard (2),financial,Collected Budget,line,Clean,,,,,,,,,,
financial/Finance Dashboard (2),financial,Investment Yield Over Time,bar,Clean,,,,,,,,,,
financial/Finance Dashboard,financial," Accounts Payable, Accounts Receivable, and Inventory",bar,Clean,,,,,,,,,,
financial/Finance Dashboard,financial,Balance Trend,line,Clean,,,,,,,,,,
financial/Finance Dashboard,financial,DSO vs DPO,line,Clean,,,,,,,,,,
financial/Finance Dashboard,financial,GrossProfit,pie,Flagged,M6_pie_without_pcto,WARNING,Pie chart uses sum aggregation on 'Calculation_32088213162168320' without Percent of Total. Pie slices represent proportions — raw values make the chart harder to interpret accurately.,Switch the aggregation to Quick Table Calculation → Percent of Total.,Calculation_32088213162168320,sum,quantitative,rows,,
financial/Finance Dashboard,financial,Net working capital excl. Cash and Current Debt,line,Clean,,,,,,,,,,
financial/Finance Dashboard,financial,Quick Ratio,line,Clean,,,,,,,,,,
financial/Finance Dashboard,financial,Revenue/GP - Actual,line,Clean,,,,,,,,,,
financial/Finance Variance Analysis Dashboard,financial,Natural Accounts,bar,Clean,,,,,,,,,,
financial/Finance Variance Analysis Dashboard,financial,Variance_Bar,bar,Clean,,,,,,,,,,
financial/Finance Variance Analysis Dashboard,financial,Variance_YTD,line,Clean,,,,,,,,,,
financial/Finance,financial," Accounts Payable, Accounts Receivable, and Inventory",bar,Clean,,,,,,,,,,
financial/Finance,financial,Balance Trend,line,Clean,,,,,,,,,,
financial/Finance,financial,DSO vs DPO,line,Clean,,,,,,,,,,
financial/Finance,financial,GrossProfit,pie,Flagged,M6_pie_without_pcto,WARNING,Pie chart uses sum aggregation on 'Calculation_32088213162168320' without Percent of Total. Pie slices represent proportions — raw values make the chart harder to interpret accurately.,Switch the aggregation to Quick Table Calculation → Percent of Total.,Calculation_32088213162168320,sum,quantitative,rows,,
financial/Finance,financial,Net working capital excl. Cash and Current Debt,line,Clean,,,,,,,,,,
financial/Finance,financial,Quick Ratio,line,Clean,,,,,,,,,,
financial/Finance,financial,Revenue/GP - Actual,line,Clean,,,,,,,,,,
financial/Financial Performance Dashboard,financial,pie profit margin,text,Clean,,,,,,,,,,
financial/Historical Climate Finance,financial,Historical Climate Finance,bar,Clean,,,,,,,,,,
financial/HR Finance Audit,financial,Approved Amount by Spend Category,circle,Clean,,,,,,,,,,
financial/HR Finance Audit,financial,Expense by Month,line,Clean,,,,,,,,,,
financial/KPI _ Finance Dashboard,financial,% of Total Pie,pie,Clean,,,,,,,,,,
financial/KPI _ Finance Dashboard,financial,AOV Bullet,bar,Clean,,,,,,,,,,
financial/KPI _ Finance Dashboard,financial,Barbell Chart,line,Clean,,,,,,,,,,
financial/KPI _ Finance Dashboard,financial,Customers Bullet,bar,Clean,,,,,,,,,,
financial/KPI _ Finance Dashboard,financial,Discount Bullet 2,bar,Clean,,,,,,,,,,
financial/KPI _ Finance Dashboard,financial,Gross Sales Bullet,bar,Clean,,,,,,,,,,
financial/KPI _ Finance Dashboard,financial,Profit Bullet ,bar,Clean,,,,,,,,,,
financial/KPI _ Finance Dashboard,financial,QTY Bullet,bar,Clean,,,,,,,,,,
financial/Personal Finance Tracker _ #VOTD,financial,Dividend,bar,Clean,,,,,,,,,,
financial/Personal Finance Tracker _ #VOTD,financial,Expense,pie,Flagged,M6_pie_without_pcto,WARNING,Pie chart uses usr aggregation on 'Calculation_2137239544509304833' without Percent of Total. Pie slices represent proportions — raw values make the chart harder to interpret accurately.,Switch the aggregation to Quick Table Calculation → Percent of Total.,Calculation_2137239544509304833,usr,quantitative,rows,,
financial/Personal Finance Tracker _ #VOTD,financial,Savings,bar,Clean,,,,,,,,,,
financial/Personal Finance Tracker _ #VOTD,financial,Total Invested Value ,line,Clean,,,,,,,,,,
financial/Personal Finance,financial,Current Year Spending,bar,Clean,,,,,,,,,,
financial/Personal Finance,financial,Mortgage Payoff Date,text,Clean,,,,,,,,,,
financial/Personal Finance,financial,Retirement Date,text,Clean,,,,,,,,,,
financial/Personal Finance,financial,Retirement Savings,bar,Clean,,,,,,,,,,
financial/Personal Finance,financial,Retirement Summary,text,Clean,,,,,,,,,,
financial/Personal Finance,financial,Total Mortgage Interest,text,Clean,,,,,,,,,,
financial/Personal Finance,financial,Total Savings CP,text,Clean,,,,,,,,,,
financial/Personal Finance,financial,cc history,bar,Clean,,,,,,,,,,
financial/Procurement and accounting,financial,Details,bar,Clean,,,,,,,,,,
financial/Procurement and accounting,financial,PO distribution,circle,Clean,,,,,,,,,,
financial/Procurement and accounting,financial,Pareto,line,Clean,,,,,,,,,,
financial/Procurement and accounting,financial,Sub evolution (3),line,Clean,,,,,,,,,,
financial/Procurement and accounting,financial,YTD per Subsidiary,text,Clean,,,,,,,,,,
financial/Procurement and accounting,financial,evolution spending,line,Clean,,,,,,,,,,
financial/Procurement and accounting,financial,top 5 ,bar,Clean,,,,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,%Loan on Time vs Late Payment vs Paid off,pie,Flagged,M6_pie_without_pcto,WARNING,Pie chart uses usr aggregation on 'Calculation_1970043384852623417' without Percent of Total. Pie slices represent proportions — raw values make the chart harder to interpret accurately.,Switch the aggregation to Quick Table Calculation → Percent of Total.,Calculation_1970043384852623417,usr,quantitative,cols,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,By Property,bar,Clean,,,,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,Compare,line,Clean,,,,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,High Risk Profiles (2),bar,Clean,,,,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,KPI Bars,line,Clean,,,,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,Status,line,Clean,,,,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,Trend,bar,Clean,,,,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,color 2,bar,Clean,,,,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,color 3,bar,Clean,,,,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,color 4,bar,Clean,,,,,,,,,,
financial/Real Estate Finance - Clients Portfolio #VOTD _ #VizOfTheDay,financial,color1,bar,Clean,,,,,,,,,,
financial/Sector Visualizations_ Finance,financial,Finance Access Developed Countries,pie,Flagged,M6_pie_without_pcto,WARNING,Pie chart uses min aggregation on 'Calculation_84653600771981312' without Percent of Total. Pie slices represent proportions — raw values make the chart harder to interpret accurately.,Switch the aggregation to Quick Table Calculation → Percent of Total.,Calculation_84653600771981312,min,quantitative,rows,,
financial/Sector Visualizations_ Finance,financial,Finance Access Developing Countries,pie,Flagged,M6_pie_without_pcto,WARNING,Pie chart uses min aggregation on 'Calculation_84653600771981312' without Percent of Total. Pie slices represent proportions — raw values make the chart harder to interpret accurately.,Switch the aggregation to Quick Table Calculation → Percent of Total.,Calculation_84653600771981312,min,quantitative,rows,,
financial/Sector Visualizations_ Finance,financial,Global Trade Finance Gap,bar,Flagged,M9_sum_on_ratio_field,WARNING,SUM is applied to 'Global Goods Trade Percentage' which appears to be a ratio or percentage field. Summing ratios does not produce a meaningful result.,Use AVG instead of SUM for ratio and percentage fields.,Global Goods Trade Percentage,sum,quantitative,rows,,
financial/Sector Visualizations_ Finance,financial,Investment Needs,pie,Flagged,M6_pie_without_pcto,WARNING,Pie chart uses min aggregation on 'Calculation_647673927296577536' without Percent of Total. Pie slices represent proportions — raw values make the chart harder to interpret accurately.,Switch the aggregation to Quick Table Calculation → Percent of Total.,Calculation_647673927296577536,min,quantitative,rows,,
financial/Tableau for Finance,financial,% of OpEx,bar,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Change by Account,line,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Change by Dept,line,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Change by Qtr,line,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Chart,bar,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Duplicate Amt,bar,Flagged,M8_sum_on_identifier,WARNING,SUM is applied to 'Number of Records' which appears to be an identifier or code field. Summing identifiers produces a meaningless total.,"Use COUNT or COUNT DISTINCT to count records, not SUM.",Number of Records,sum,quantitative,cols,,
financial/Tableau for Finance,financial,Duplicate Detail,circle,Flagged,M4_numeric_agg_on_ordinal,WARNING,Field 'Approved Amount' is ordinal (ordered category) but SUM is applied. Numeric aggregation on ordinal data can produce misleading results.,"Use COUNT or MEDIAN, or verify the field should be quantitative.",Approved Amount,sum,ordinal,rows,,
financial/Tableau for Finance,financial,Employee Expense Types,circle,Flagged,M8_sum_on_identifier,WARNING,SUM is applied to 'Number of Records' which appears to be an identifier or code field. Summing identifiers produces a meaningless total.,"Use COUNT or COUNT DISTINCT to count records, not SUM.",Number of Records,sum,quantitative,cols,,
financial/Tableau for Finance,financial,Lic-Consol,bar,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Main-Consol,bar,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,PO Count by QTR Ver2,bar,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Project Spend,bar,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Project Summary,bar,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Receipts By Purchase Requestor,circle,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Revenue & Key Common Size Measures,bar,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Routes_RouteMap,line,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Top 20 Vendors by PO Count Ver2a,bar,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Top 20 Vendors by USD Ver2a,bar,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Top 5 Expense Types,line,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Top 5 Expense Types Total Spent,circle,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Tot Rev-Consol,bar,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,Traveler_Itinerary_Timeline,bar,Clean,,,,,,,,,,
financial/Tableau for Finance,financial,YTD Variance by Period,bar,Clean,,,,,,,,,,
financial/The Ultimate Profit & Loss Statement Workbook,financial,04a.chart,square,Clean,,,,,,,,,,
financial/The Ultimate Profit & Loss Statement Workbook,financial,10a.Header,bar,Clean,,,,,,,,,,
financial/The Ultimate Profit & Loss Statement Workbook,financial,10b.CY,bar,Clean,,,,,,,,,,
financial/The Ultimate Profit & Loss Statement Workbook,financial,10c.PY,bar,Clean,,,,,,,,,,
financial/The Ultimate Profit & Loss Statement Workbook,financial,10d.CY-PY $,bar,Clean,,,,,,,,,,
financial/The Ultimate Profit & Loss Statement Workbook,financial,10e.CY-PY %,bar,Clean,,,,,,,,,,
financial/The Ultimate Profit & Loss Statement Workbook,financial,11a.Header,bar,Clean,,,,,,,,,,
financial/The Ultimate Profit & Loss Statement Workbook,financial,11b.CY,bar,Clean,,,,,,,,,,
financial/The Ultimate Profit & Loss Statement Workbook,financial,11c.PY,bar,Clean,,,,,,,,,,
financial/The Ultimate Profit & Loss Statement Workbook,financial,11d.Delta,bar,Clean,,,,,,,,,,
financial/The Ultimate Profit & Loss Statement Workbook,financial,w06_Table,line,Clean,,,,,,,,,,
financial/The Ultimate Profit & Loss Statement Workbook,financial,w07_Table,line,Clean,,,,,,,,,,
financial/Transition Finance Dashboard,financial,GNIpc,line,Clean,,,,,,,,,,
financial/Transition Finance Dashboard,financial,Ind corr,circle,Clean,,,,,,,,,,
financial/Transition Finance Dashboard,financial,Ind corr (2),circle,Clean,,,,,,,,,,
healthcare/#IronViz_ The Economy of Healthcare,healthcare,Average Quantity of Trade Bar,bar,Clean,,,,,,,,,,
healthcare/#IronViz_ The Economy of Healthcare,healthcare,Average Quantity of Trade Bar Desc,bar,Clean,,,,,,,,,,
healthcare/#IronViz_ The Economy of Healthcare,healthcare,Average Value of Trade Bar Desc,bar,Clean,,,,,,,,,,
healthcare/#IronViz_ The Economy of Healthcare,healthcare,Cost vs Quantity,circle,Clean,,,,,,,,,,
healthcare/#IronViz_ The Economy of Healthcare,healthcare,Dendrogram 1,line,Clean,,,,,,,,,,
healthcare/#IronViz_ The Economy of Healthcare,healthcare,Dendrogram 2,line,Clean,,,,,,,,,,
healthcare/#IronViz_ The Economy of Healthcare,healthcare,Distribution of Value of Trade (Exports),circle,Clean,,,,,,,,,,
healthcare/#IronViz_ The Economy of Healthcare,healthcare,Distribution of Value of Trade (Imports),circle,Clean,,,,,,,,,,
healthcare/#IronViz_ The Economy of Healthcare,healthcare,Jitter Quantity,circle,Clean,,,,,,,,,,
healthcare/#IronViz_ The Economy of Healthcare,healthcare,Jitter Value,circle,Clean,,,,,,,,,,
healthcare/#IronViz_ The Economy of Healthcare,healthcare,Life Expec. vs Healthcare Expenditures,circle,Clean,,,,,,,,,,
healthcare/#IronViz_ The Economy of Healthcare,healthcare,"Normalized Value, Num, and Quantity of Items",line,Clean,,,,,,,,,,
healthcare/#IronViz_ The Economy of Healthcare,healthcare,Number of Countries that Export Item,circle,Clean,,,,,,,,,,
healthcare/#IronViz_ The Economy of Healthcare,healthcare,Sheet 17,bar,Clean,,,,,,,,,,
healthcare/101-Designing Dashboards and Stories - Healthcare Costs,healthcare,Word Cloud,text,Clean,,,,,,,,,,
healthcare/Color of COVID-19,healthcare,lower,line,Clean,,,,,,,,,,
healthcare/Color of COVID-19,healthcare,upper,line,Clean,,,,,,,,,,
healthcare/Detecting Frauds in Healthcare,healthcare,Sheet 1 (2),circle,Clean,,,,,,,,,,
healthcare/Detecting Frauds in Healthcare,healthcare,Sheet 16,square,Clean,,,,,,,,,,
healthcare/Detecting Frauds in Healthcare,healthcare,Sheet 22,bar,Clean,,,,,,,,,,
healthcare/Detecting Frauds in Healthcare,healthcare,Sheet 22 (2),bar,Clean,,,,,,,,,,
healthcare/Detecting Frauds in Healthcare,healthcare,Sheet 22 (3),bar,Clean,,,,,,,,,,
healthcare/Detecting Frauds in Healthcare,healthcare,Sheet 22 (4),bar,Clean,,,,,,,,,,
healthcare/Detecting Frauds in Healthcare,healthcare,Sheet 22 (5),bar,Clean,,,,,,,,,,
healthcare/Detecting Frauds in Healthcare,healthcare,Sheet 22 (6),bar,Clean,,,,,,,,,,
healthcare/Detecting Frauds in Healthcare,healthcare,Sheet 3,bar,Clean,,,,,,,,,,
healthcare/Deviation_ Charting Actual to Target Values,healthcare,Bar Chart,bar,Clean,,,,,,,,,,
healthcare/Deviation_ Charting Actual to Target Values,healthcare,Bullet Chart,bar,Clean,,,,,,,,,,
healthcare/Deviation_ Charting Actual to Target Values,healthcare,Deviation Chart,bar,Clean,,,,,,,,,,
"healthcare/Election 24, Healthcare _ Capital and Main",healthcare,Multi-Lines,line,Clean,,,,,,,,,,
"healthcare/Election 24, Healthcare _ Capital and Main",healthcare,One Line,bar,Clean,,,,,,,,,,
"healthcare/Election 24, Healthcare _ Capital and Main",healthcare,One Line (2),bar,Clean,,,,,,,,,,
healthcare/Healthcare (1),healthcare,C Age Grps,pie,Clean,,,,,,,,,,
healthcare/Healthcare (1),healthcare,C p's2,pie,Flagged,M6_pie_without_pcto,WARNING,Pie chart uses avg aggregation on 'Number of Records' without Percent of Total. Pie slices represent proportions — raw values make the chart harder to interpret accurately.,Switch the aggregation to Quick Table Calculation → Percent of Total.,Number of Records,avg,quantitative,rows,,
